Vehicle Make,Vehicle Model,PASS,FAIL,Total,PASS %,FAIL %
BMW,116,2442,1431,3873,63.05189775367932,36.94810224632068
BMW,118,888,579,1467,60.53169734151329,39.46830265848671
BMW,120,178,189,367,48.50136239782017,51.49863760217984
BMW,123,19,22,41,46.34146341463415,53.65853658536586
BMW,125,3,3,6,50.0,50.0
BMW,216,209,87,296,70.6081081081081,29.39189189189189
BMW,218,657,247,904,72.67699115044249,27.323008849557525
BMW,220,81,32,113,71.68141592920354,28.31858407079646
BMW,225,99,41,140,70.71428571428572,29.28571428571429
BMW,3 SERIES,4,5,9,44.44444444444444,55.55555555555556
BMW,316,1883,1729,3612,52.13178294573644,47.86821705426357
BMW,316I,24,35,59,40.67796610169492,59.32203389830508
BMW,318,3240,3485,6725,48.17843866171004,51.82156133828997
BMW,318 D SE,21,3,24,87.5,12.5
BMW,318I SE,22,30,52,42.30769230769231,57.692307692307686
BMW,320,5111,6104,11215,45.572893446277305,54.427106553722695
BMW,320D SE 150 BHP,3,3,6,50.0,50.0
BMW,325,240,255,495,48.484848484848484,51.515151515151516
BMW,328,5,4,9,55.55555555555556,44.44444444444444
BMW,330,1471,613,2084,70.58541266794626,29.414587332053742
BMW,335,101,64,165,61.212121212121204,38.78787878787879
BMW,418,93,61,154,60.3896103896104,39.61038961038961
BMW,420,1783,752,2535,70.33530571992111,29.664694280078898
BMW,428,12,3,15,80.0,20.0
BMW,430,183,65,248,73.79032258064517,26.209677419354836
BMW,435,66,22,88,75.0,25.0
BMW,440,13,1,14,92.85714285714286,7.142857142857142
BMW,518,605,248,853,70.926143024619,29.073856975381005
BMW,520,15389,12254,27643,55.67051333068046,44.32948666931954
BMW,523,86,88,174,49.42528735632184,50.57471264367817
BMW,525,301,310,611,49.263502454991816,50.736497545008184
BMW,530,1921,815,2736,70.21198830409357,29.78801169590643
BMW,530E (HYBRID),132,22,154,85.71428571428571,14.285714285714285
